Player,Season,Competition,Matchday,Date,Venue,Club,Opponent,Result,Playing_Position,Minute,At_score,Type,Goal_assist
CRISTIANO RONALDO,07/08,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2007-10-23,A,MANCHESTER UNITED,DYNAMO KYIV,2:04,RW,68,1:04,HEADER,RYAN GIGGS
LIONEL MESSI,07/08,LALIGA,9,2007-10-28,H,FC BARCELONA,UD ALMERA,2:00,RW,80,2:00,PENALTY,OTHER
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,12,2007-11-03,A,MANCHESTER UNITED,ARSENAL FC,2:02,RW,82,1:02,OTHER,PATRICE EVRA
LIONEL MESSI,07/08,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2007-11-07,H,FC BARCELONA,RANGERS FC,2:00,RW,41,2:00,LEFT-FOOTED SHOT,RONALDINHO GAACHO
CRISTIANO RONALDO,07/08,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2007-11-07,H,MANCHESTER UNITED,DYNAMO KYIV,4:00,RW,88,4:00,RIGHT-FOOTED SHOT,PATRICE EVRA
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,13,2007-11-11,H,MANCHESTER UNITED,BLACKBURN ROVERS,2:00,RW,34,1:00,HEADER,RYAN GIGGS
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,13,2007-11-11,H,MANCHESTER UNITED,BLACKBURN ROVERS,2:00,RW,35,2:00,RIGHT-FOOTED SHOT,CARLOS TEVEZ
LIONEL MESSI,07/08,LALIGA,13,2007-11-24,H,FC BARCELONA,RECREATIVO HUELVA,3:00,RW,81,3:00,PENALTY,OTHER
LIONEL MESSI,07/08,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2007-11-27,A,FC BARCELONA,OLYMPIQUE LYON,2:02,RW,58,1:02,PENALTY,OTHER
CRISTIANO RONALDO,07/08,UEFA CHAMPIONS LEAGUE,GROUP STAGE,2007-11-27,H,MANCHESTER UNITED,SPORTING CP,2:01,RW,90+3,2:01,DIRECT FREE KICK,OTHER
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,15,2007-12-03,H,MANCHESTER UNITED,FULHAM FC,2:00,OTHER,58,2:00,HEADER,JOHN OSHEA
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,15,2007-12-03,H,MANCHESTER UNITED,FULHAM FC,2:00,OTHER,10,1:00,RIGHT-FOOTED SHOT,NEMANJA VIDICÂ€Ž
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,16,2007-12-08,H,MANCHESTER UNITED,DERBY COUNTY,4:01,OTHER,90,4:01,PENALTY,OTHER
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,18,2007-12-23,H,MANCHESTER UNITED,EVERTON FC,2:01,RW,87,2:01,PENALTY,OTHER
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,18,2007-12-23,H,MANCHESTER UNITED,EVERTON FC,2:01,RW,22,1:00,LEFT-FOOTED SHOT,CARLOS TEVEZ
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,19,2007-12-26,A,MANCHESTER UNITED,SUNDERLAND AFC,0:04,OTHER,45,0:03,DIRECT FREE KICK,OTHER
CRISTIANO RONALDO,07/08,PREMIER LEAGUE,20,2007-12-29,A,MANCHESTER UNITED,WEST HAM UNITED,2:01,RW,14,0:01,HEADER,RYAN GIGGS
